Date,Return
10/08/2013,0.011952191235059861
10/09/2013,-0.01326781326781342
10/10/2013,-0.007317073170731638
10/11/2013,-0.0009746588693956907
10/14/2013,-0.005813953488372141
10/15/2013,0.0034030140982012776
10/16/2013,-0.007239382239382171
10/17/2013,-0.02402260951483757
10/18/2013,0.0
10/21/2013,-0.013934045517882057
10/22/2013,-0.013290559120073289
10/23/2013,-0.01177536231884049
10/24/2013,-0.029876977152899966
10/25/2013,0.02338129496402892
10/28/2013,-0.02284710017574706
10/29/2013,0.01697944593386964
10/30/2013,-0.009734513274336389
10/31/2013,0.025408348457350377
11/01/2013,-0.024778761061947003
11/04/2013,-0.006593406593406531
11/05/2013,-0.021926053310404193
11/06/2013,0.032401242787394605
11/07/2013,0.016696750902527122
11/08/2013,-0.04688172043010752
